ManufacturerProvCode,ManufacturingTypeEn,MoisturePercent,FlavourEn,CharacteristicsEn,Organic,CategoryTypeEn,MilkTypeEn,MilkTreatmentTypeEn,RindTypeEn,CheeseName,FatLevel
NB,Farmstead,47.0,"Sharp, lactic",Uncooked,0,Firm Cheese,Ewe,Raw Milk,Washed Rind,Sieur de Duplessis (Le),lower fat
NB,Farmstead,47.9,"Sharp, lactic, lightly caramelized",Uncooked,0,Semi-soft Cheese,Cow,Raw Milk,Washed Rind,Tomme Le Champ Doré,lower fat
ON,Industrial,54.0,"Mild, tangy, and fruity","Pressed and cooked cheese, pasta filata, interiror ripened",0,Firm Cheese,Cow,Pasteurized,,Provolone Sette Fette (Tre-Stelle),lower fat
NB,Farmstead,47.0,Sharp with fruity notes and a hint of wild honey,,0,Veined Cheeses,Cow,Raw Milk,,Geai Bleu (Le),lower fat
NB,Farmstead,49.4,Softer taste,,1,Semi-soft Cheese,Cow,Raw Milk,Washed Rind,Gamin (Le),lower fat
NB,Industrial,48.0,,Classic fresh cooking cheeses,0,Fresh Cheese,Cow,Pasteurized,,Paneer (Northumberland Co-operative),lower fat
ON,Industrial,52.0,"Rich, creamy, buttery, both subtle and tangy in taste",,0,Soft Cheese,Goat,Pasteurized,Bloomy Rind,Goat Brie (Woolwich),lower fat
ON,Industrial,41.0,Mild,"Whitem, smooth, firm textured",0,Firm Cheese,Goat,Pasteurized,,Goat Cheddar (Woolwich),lower fat
ON,Industrial,50.0,Mild,,0,Semi-soft Cheese,Goat,Pasteurized,,Goat Mozarella (Woolwich),lower fat
ON,Industrial,55.0,"Sharp, tangy, salty",With or without brine,0,Soft Cheese,Goat,Pasteurized,,Goat Feta (Woolwich),lower fat
ON,Industrial,57.0,Rich and creamy,Fresh cheese,0,Fresh Cheese,Goat,Pasteurized,,Madame Chèvre Elite,lower fat
BC,Farmstead,34.0,,"Organic. Made with Jersey Milk as such very rich, creamy and pleasing colour",1,Semi-soft Cheese,Cow,Raw Milk,,Gouda (Jerseyland Organic),higher fat
BC,Farmstead,34.0,,Organic. No dye/colour added.  Made from Jersey Milk,1,Semi-soft Cheese,Cow,Raw Milk,,Cheddar (Jerseyland Organic),higher fat
BC,Farmstead,33.0,,Organic. Our grana's are Parmesan and Asiago; these are from our own Jersey milk. No colouring added,1,Hard Cheese,Cow,Raw Milk,,Grana (Jerseyland Organic),higher fat
BC,Farmstead,43.0,Creamy and rich tasting.  Creamy in colour due to the carotene in Jersey milk,Organic. Made with Jersey milk,1,Soft Cheese,Cow,Raw Milk,,Feta (Jerseyland Organic),higher fat
BC,Farmstead,34.0,"Available : Plain , garlic and dill, mixed herbs",Organic,1,Semi-soft Cheese,Goat,Raw Milk,,Udderly Organic Goat Gouda (Jerseyland Organic),higher fat
BC,Farmstead,43.0,"Available : Plain,  sundried tomato and herbs",Organic,1,Soft Cheese,Goat,Raw Milk,,Udderly Organic Goat Feta (Jerseyland Organic),higher fat
BC,Artisan,41.0,"Spiked with a slightly warm, premium, cracked black pepper","Ripened, creamy cheese",0,Firm Cheese,Cow,Pasteurized,,Cracked Pepper Verdelait,higher fat
BC,Artisan,41.0,"Mild flavour of sweet butter and a delicate, smokey, exotic, lemony finish",,0,Firm Cheese,Cow,Pasteurized,,Cumin Verdelait,higher fat
BC,Artisan,41.0,Flavourful blend of garlic and chives,,0,Firm Cheese,Cow,Pasteurized,,Garlic and Chive Verdelait,higher fat
BC,Artisan,41.0,"Ginger, garlic and local organic wasabi.",,0,Firm Cheese,Cow,Pasteurized,,Wasabi Verdelait,higher fat
BC,Artisan,48.0,Creamy with a note of mushroom,"Ripened,",0,Soft Cheese,Cow,Pasteurized,,Comox Camembert,lower fat
ON,Industrial,45.0,Mild to sharp with light smoky flavour Also available with Omega 3,Supple and smooth with a golden-yellow waxed rind,0,Firm Cheese,Cow,Pasteurized,,Provolone (Silani),lower fat
ON,Industrial,80.0,Milky Also available with Omega 3,"Granular, creamy and soft in texture",0,Fresh Cheese,Cow,Pasteurized,No Rind,Ricotta (Silani),lower fat
AB,Farmstead,43.0,"Basil, black pepper, black pepper and garlic, cumin, dill, fenugreek, friesian cloves, green peppercorn, greeen peppecorn with cayenne, italian herbs","Mild, medium, aged",0,Firm Cheese,Cow,Pasteurized,,Gouda (Sylvan Star Ltd.),lower fat
ON,Farmstead,39.0,"Mild and sweet, nutty and buttery flavour.",Made from Guernsey milk.,0,Semi-soft Cheese,Cow,Pasteurized,Washed Rind,Niagara Gold,higher fat
ON,Industrial,39.0,,,0,Firm Cheese,Cow,Pasteurized,No Rind,Cheddar (Balderson),higher fat
ON,Industrial,39.0,"Five peppers, garlic, dill, chives, fine herbs and tomato, apple etc","Curds, mild, medium, old, extra old, extra old 5 years.",0,Firm Cheese,Cow,Pasteurized,,Cheddars (Fromagerie St-Albert),higher fat
NS,Farmstead,42.0,"Mild, medium, old, caraway, cumin, cumin and cloves, fines herbs, garlic, pepper mix, smoked.","Natural rind, shaped into wheels, smooth",0,Firm Cheese,Cow,Thermised,,Gouda (That Dutchman's Farm),lower fat
NS,Farmstead,42.0,"Delicate, a bit spicy.",Blue cheese dipped in black wax,0,Soft Cheese,Cow,Raw Milk,,Dragon's Breath,lower fat
ON,Industrial,55.0,Mild,,0,Fresh Cheese,Cow,Pasteurized,No Rind,Feta (Black Diamond),lower fat
ON,Artisan,60.0,Mild tangy taste,Creamy,0,Fresh Cheese,Ewe,Pasteurized,No Rind,Brebis frais (Best Baa Dairy),lower fat
ON,Artisan,42.0,Mild,"Creamy, covered with a green wax",0,Semi-soft Cheese,Ewe,Raw Milk,,Eweda cru (Best Baa Dairy),higher fat
ON,Artisan,55.0,,"White rind, creamier than camembert",0,Soft Cheese,Ewe,Pasteurized,Bloomy Rind,Ramembert (Best Baa Dairy),lower fat
ON,Artisan,,Mild,Creamy,0,Fresh Cheese,Ewe,Pasteurized,,Feta (Best Baa Dairy),lower fat
ON,Industrial,34.0,"Mild, medium, extra-old, 4 and 5 year-old",White and orange,0,Firm Cheese,Cow,Thermised,No Rind,Cheddar (Bright Brand),higher fat
ON,Artisan,47.0,,,0,Semi-soft Cheese,Ewe,Pasteurized,,Eweda (Best Baa Dairy),higher fat
ON,Artisan,48.0,,,0,Semi-soft Cheese,Ewe,Raw Milk,,Mouton rouge (Best Baa Dairy),higher fat
ON,Artisan,58.0,,,0,Semi-soft Cheese,Ewe,Raw Milk,,Brigitte (Best Baa Dairy),lower fat
NS,Industrial,44.0,,,0,Semi-soft Cheese,Cow,Pasteurized,No Rind,Mozzarella (Farmers Cooporative Dairies),lower fat
BC,Artisan,48.0,White truffles,Creamy,0,Soft Cheese,Cow,Pasteurized,,Okanagan Double Cream Camembert,higher fat
BC,Artisan,47.0,Intense Blue Flavour,,0,Veined Cheeses,Cow,Pasteurized,,Tiger Blue,lower fat
BC,Artisan,54.0,Mild,Creamy,0,Veined Cheeses,Cow,Pasteurized,,Naramata Bench Blue,lower fat
BC,Artisan,54.0,,,0,Soft Cheese,Cow,Pasteurized,Washed Rind,Harvest Moon,lower fat
BC,Artisan,40.0,,,0,Firm Cheese,Goat,Thermised,No Rind,Swiss (Village Cheese),higher fat
BC,Artisan,41.0,,,0,Semi-soft Cheese,Goat,Thermised,,Havarti (Village Cheese),higher fat
BC,Artisan,40.0,,,0,Firm Cheese,Goat,Thermised,,Edam (Village Cheese),higher fat
BC,Artisan,32.0,,,0,Hard Cheese,Cow,Thermised,,Parmesan (Village Cheese),lower fat
BC,Artisan,40.0,,,0,Firm Cheese,Goat,Thermised,,Monterey Jack (Village Cheese),lower fat
BC,Artisan,40.0,,,0,Firm Cheese,Goat,Thermised,No Rind,Swiss Alpine Meadow (Village Cheese),higher fat
BC,Artisan,38.0,,,0,Semi-soft Cheese,Goat,Thermised,,Mozzarella (Village Cheese),higher fat
BC,Artisan,40.0,,,0,Firm Cheese,Goat,Thermised,,Gouda (Village Cheese),lower fat
BC,Artisan,41.0,,,0,Firm Cheese,Goat,Thermised,,Brick (Village Cheese),higher fat
ON,Industrial,39.0,"Delicate, sweet and nutty flavour",,0,Firm Cheese,Cow,Pasteurized,,Asiago (Tre Stelle),higher fat
ON,Industrial,50.0,Buttery taste.,,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Château Versailles Brie (Tre Stelle),lower fat
MB,Farmstead,37.0,,,1,Firm Cheese,Cow,Pasteurized,No Rind,Cheddar (Bothwell),higher fat
MB,Farmstead,40.0,Sweet and slightly nutty taste,Buttery texture,0,Firm Cheese,Cow,Pasteurized,No Rind,Swiss (Bothwell),lower fat
MB,Farmstead,42.0,"Salty and sweet with a mild, nutty taste",Also manufactures a Smoked Gouda,0,Firm Cheese,Cow,Pasteurized,No Rind,Gouda (Bothwell),lower fat
MB,Farmstead,42.0,"Mild, sweet and slightly nutty taste","Also available the ""Jalapeno Pepper Jack""",0,Semi-soft Cheese,Cow,Pasteurized,No Rind,Monterey Jack (Bothwell),lower fat
NL,Industrial,39.0,,"Old, Medium, Mild, Marble and Old White Cheddars",0,Firm Cheese,Cow,Pasteurized,No Rind,Cheddars (Central Dairies),higher fat
BC,Artisan,68.0,,,0,Soft Cheese,Cow,Pasteurized,,San Pareil,lower fat
BC,Artisan,,,Welsh-style cheese,0,Hard Cheese,Cow,Raw Milk,,Caerphilly,higher fat
BC,Artisan,40.0,Mild tasting,Artisan Cheese,0,Firm Cheese,Cow,Pasteurized,No Rind,Monterey Jill,higher fat
BC,Artisan,38.0,"Onions, garlic, papika and sweet red pepper flakes.",Artisinal cheese,0,Hard Cheese,Cow,Raw Milk,,Qualicum Spice,higher fat
BC,Artisan,44.0,"Plain or marinated in oil, garlic, sun-dried tomatoes and rosemary",,0,Soft Cheese,Cow,Pasteurized,No Rind,Little Qualicum Feta,lower fat
BC,Artisan,38.0,,Artisanal cheese,0,Hard Cheese,Cow,Raw Milk,,Raclette (Little Qualicum),higher fat
BC,Artisan,36.0,Hints of roasted nuts,Artisan Swiss-style Cheese,0,Firm Cheese,Cow,Raw Milk,,Rathtrevor,higher fat
BC,Artisan,47.0,Gentle flavour with a creamy buttery taste,,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Comox Brie,lower fat
BC,Artisan,48.0,Delicate note of mushroom,,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Triple Cream Camembert,higher fat
BC,Artisan,41.0,Sweet buttery flavour with a mellow taste of herbs.  Nutty overtones with a tangy finish.,,0,Firm Cheese,Cow,Pasteurized,,Amsterdammer,higher fat
BC,Artisan,43.0,,,0,Firm Cheese,Cow,Pasteurized,,Boerenkaas,higher fat
BC,Artisan,39.0,Bold fruity rich-tasting cheese.,Blend of Irish Derby and Italian-style Asiago.,0,Firm Cheese,Cow,Pasteurized,,La Scala,higher fat
BC,Artisan,41.0,A mix of habanero and black pepper.,,0,Firm Cheese,Cow,Pasteurized,,Pacific Pepper Verderlait,higher fat
BC,Artisan,41.0,Spicy with cloves and cumin.,Creamy,0,Firm Cheese,Cow,Pasteurized,,Winterlude Spice Verderlait,higher fat
BC,Artisan,68.0,Mushroom overtones,Velvety white rind,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Island Bries,lower fat
